person_age,person_income,person_home_ownership,person_emp_length,cb_person_default_on_file,cb_person_cred_hist_length,age_group,has_prior_default
19,59317,MORTGAGE,4.5,Y,6,18-25,1
25,17565,OWN,0.0,N,7,18-25,0
28,22976,RENT,0.3,N,1,26-35,0
23,66139,MORTGAGE,11.5,Y,2,18-25,1
20,41933,RENT,5.2,Y,6,18-25,1
22,27735,RENT,2.4,N,4,18-25,0
35,35360,MORTGAGE,0.1,Y,8,26-35,1
18,106510,MORTGAGE,8.1,N,4,18-25,0
33,41735,MORTGAGE,3.1,Y,9,26-35,1
35,73385,MORTGAGE,23.5,N,10,26-35,0
24,14433,MORTGAGE,3.6,N,4,18-25,0
29,33474,MORTGAGE,0.1,N,7,26-35,0
22,36363,MORTGAGE,1.1,N,8,18-25,0
28,29185,MORTGAGE,2.0,N,7,26-35,0
40,44813,MORTGAGE,2.8,N,7,36-45,0
34,39554,MORTGAGE,9.8,N,4,26-35,0
23,81644,RENT,10.7,Y,1,18-25,1
19,106366,RENT,9.2,N,6,18-25,0
25,31721,MORTGAGE,1.5,N,5,18-25,0
28,113616,MORTGAGE,0.1,N,7,26-35,0
31,29422,RENT,1.2,N,2,26-35,0
26,53352,RENT,1.7,N,3,26-35,0
37,19318,RENT,0.8,N,4,36-45,0
27,40148,MORTGAGE,14.5,N,4,26-35,0
24,142931,MORTGAGE,8.4,N,5,18-25,0
30,54145,RENT,1.6,N,3,26-35,0
31,40957,RENT,0.7,N,8,26-35,0
22,12085,RENT,2.8,N,3,18-25,0
21,46848,RENT,15.2,N,5,18-25,0
18,52431,RENT,7.4,N,1,18-25,0
25,35172,RENT,5.5,N,4,18-25,0
34,38803,RENT,2.8,N,8,26-35,0
30,45547,OWN,5.0,N,3,26-35,0
33,50093,MORTGAGE,1.1,Y,4,26-35,1
23,43204,MORTGAGE,4.7,N,5,18-25,0
26,111244,RENT,2.8,Y,3,26-35,1
18,23742,OWN,0.2,N,6,18-25,0
33,144645,MORTGAGE,6.1,N,4,26-35,0
35,40738,RENT,3.4,Y,7,26-35,1
20,71307,RENT,0.5,N,2,18-25,0
36,103380,RENT,0.5,N,1,36-45,0
25,56046,MORTGAGE,1.2,N,5,18-25,0
20,47930,MORTGAGE,6.9,Y,5,18-25,1
25,54311,OWN,6.4,N,5,18-25,0
30,12596,MORTGAGE,6.4,N,6,26-35,0
26,7648,RENT,0.5,N,5,26-35,0
23,83197,MORTGAGE,4.3,N,4,18-25,0
30,38938,RENT,2.6,N,8,26-35,0
31,26988,MORTGAGE,0.6,N,7,26-35,0
25,57203,MORTGAGE,8.4,N,4,18-25,0
24,43916,OWN,7.0,N,6,18-25,0
23,19823,RENT,2.0,N,8,18-25,0
29,95128,RENT,6.3,N,7,26-35,0
18,108152,RENT,3.3,N,6,18-25,0
22,56798,MORTGAGE,7.9,N,3,18-25,0
26,55002,RENT,1.2,Y,5,26-35,1
22,48649,RENT,1.3,N,6,18-25,0
28,53310,MORTGAGE,2.2,N,9,26-35,0
27,62592,MORTGAGE,0.9,N,6,26-35,0
41,35283,MORTGAGE,4.0,N,3,36-45,0
22,85981,RENT,1.0,N,7,18-25,0
26,55224,RENT,1.4,N,4,26-35,0
21,84232,MORTGAGE,0.6,N,1,18-25,0
38,118533,MORTGAGE,9.5,N,6,36-45,0
37,50283,RENT,1.3,N,8,36-45,0
18,61882,MORTGAGE,0.8,N,7,18-25,0
26,76951,RENT,2.3,Y,3,26-35,1
27,51498,MORTGAGE,0.7,N,3,26-35,0
24,38525,RENT,0.8,Y,6,18-25,1
24,55722,OWN,3.3,N,4,18-25,0
31,121841,RENT,1.3,Y,5,26-35,1
37,9011,MORTGAGE,5.8,Y,4,36-45,1
31,82673,RENT,2.5,Y,4,26-35,1
32,54660,MORTGAGE,2.1,Y,8,26-35,1
24,34017,OWN,2.6,N,4,18-25,0
33,89928,RENT,6.0,N,2,26-35,0
33,21099,RENT,0.0,Y,3,26-35,1
24,37026,MORTGAGE,0.4,N,6,18-25,0
25,122785,OWN,2.7,Y,4,18-25,1
18,13022,MORTGAGE,3.5,Y,2,18-25,1
18,69616,OWN,0.3,N,9,18-25,0
24,134185,MORTGAGE,3.2,N,7,18-25,0
20,106144,MORTGAGE,2.0,N,4,18-25,0
31,64793,RENT,3.0,N,7,26-35,0
26,25041,MORTGAGE,0.5,N,8,26-35,0
30,91636,MORTGAGE,7.4,Y,6,26-35,1
19,31586,RENT,1.2,N,4,18-25,0
34,43972,MORTGAGE,1.0,N,8,26-35,0
29,47276,OWN,12.9,Y,4,26-35,1
29,20710,RENT,1.0,N,7,26-35,0
32,121252,MORTGAGE,11.3,N,10,26-35,0
28,45973,MORTGAGE,1.2,N,3,26-35,0
20,46604,RENT,3.2,N,4,18-25,0
30,31943,OWN,5.5,Y,4,26-35,1
22,29855,RENT,1.0,N,7,18-25,0
28,75499,MORTGAGE,4.0,Y,4,26-35,1
22,76891,RENT,20.8,N,3,18-25,0
36,392600,RENT,6.2,Y,8,36-45,1
31,39421,MORTGAGE,2.8,N,7,26-35,0
33,36444,MORTGAGE,1.7,N,6,26-35,0
22,106401,MORTGAGE,6.1,Y,4,18-25,1
28,88347,MORTGAGE,8.4,N,7,26-35,0
28,40028,RENT,0.3,Y,5,26-35,1
27,62762,RENT,2.8,Y,8,26-35,1
18,146158,MORTGAGE,16.2,N,7,18-25,0
38,21299,RENT,5.0,N,6,36-45,0
26,29156,RENT,0.3,Y,4,26-35,1
30,66190,RENT,5.7,N,5,26-35,0
19,30537,MORTGAGE,0.3,N,5,18-25,0
35,31616,MORTGAGE,1.3,N,7,26-35,0
35,115771,RENT,2.7,N,4,26-35,0
32,65465,MORTGAGE,1.2,N,5,26-35,0
28,47176,MORTGAGE,0.1,N,5,26-35,0
41,28452,RENT,2.3,N,4,36-45,0
32,63362,RENT,5.4,N,3,26-35,0
18,111364,MORTGAGE,1.6,N,7,18-25,0
28,19847,RENT,3.5,Y,8,26-35,1
30,20850,OWN,1.4,N,6,26-35,0
27,78910,RENT,0.3,N,4,26-35,0
30,33157,RENT,2.8,N,2,26-35,0
35,27832,RENT,2.9,N,5,26-35,0
25,30438,OWN,14.1,N,6,18-25,0
24,83251,MORTGAGE,17.4,Y,6,18-25,1
20,81482,MORTGAGE,5.2,Y,11,18-25,1
18,64674,MORTGAGE,0.5,N,4,18-25,0
25,36320,MORTGAGE,3.6,Y,9,18-25,1
22,27701,MORTGAGE,9.6,N,2,18-25,0
25,32135,RENT,6.2,N,4,18-25,0
23,26317,MORTGAGE,8.7,N,8,18-25,0
20,37240,MORTGAGE,0.1,N,2,18-25,0
23,50275,MORTGAGE,2.8,N,6,18-25,0
30,82207,MORTGAGE,3.9,N,7,26-35,0
23,50336,RENT,16.0,N,8,18-25,0
25,43562,RENT,3.2,N,4,18-25,0
39,161288,MORTGAGE,2.0,N,5,36-45,0
33,4289,MORTGAGE,5.6,N,5,26-35,0
28,76841,MORTGAGE,2.8,N,8,26-35,0
28,70646,RENT,10.5,N,8,26-35,0
22,71284,MORTGAGE,2.1,N,6,18-25,0
24,93951,OWN,1.4,N,7,18-25,0
25,21356,MORTGAGE,5.3,N,6,18-25,0
27,95606,RENT,9.7,N,6,26-35,0
26,64128,MORTGAGE,0.5,Y,4,26-35,1
20,37152,MORTGAGE,1.4,N,5,18-25,0
30,76188,RENT,0.2,N,3,26-35,0
23,55527,RENT,2.2,Y,2,18-25,1
38,25343,MORTGAGE,0.4,N,4,36-45,0
34,11889,RENT,6.2,N,6,26-35,0
18,19569,RENT,0.4,N,3,18-25,0
25,29732,MORTGAGE,4.7,N,3,18-25,0
36,64632,RENT,5.0,Y,2,36-45,1
30,17897,RENT,1.7,N,6,26-35,0
27,65333,MORTGAGE,4.4,N,5,26-35,0
18,61003,RENT,1.6,N,7,18-25,0
25,206909,RENT,1.0,Y,4,18-25,1
28,63108,MORTGAGE,1.4,N,3,26-35,0
18,11511,OWN,6.9,N,5,18-25,0
30,109315,RENT,12.1,N,7,26-35,0
22,25883,RENT,1.6,N,6,18-25,0
28,24937,MORTGAGE,2.6,N,5,26-35,0
27,42772,MORTGAGE,1.5,N,3,26-35,0
25,72092,OWN,1.0,N,4,18-25,0
31,40455,OWN,0.4,N,2,26-35,0
28,49363,RENT,1.7,N,8,26-35,0
43,25863,MORTGAGE,3.5,N,1,36-45,0
37,21643,MORTGAGE,3.1,N,3,36-45,0
20,56446,MORTGAGE,0.5,N,4,18-25,0
34,16859,MORTGAGE,6.0,N,3,26-35,0
22,29753,MORTGAGE,3.9,N,7,18-25,0
19,38892,MORTGAGE,1.9,N,2,18-25,0
18,57769,RENT,7.3,Y,2,18-25,1
24,40851,RENT,2.8,Y,6,18-25,1
33,39254,RENT,0.9,N,4,26-35,0
27,20716,MORTGAGE,10.2,N,3,26-35,0
30,36683,RENT,2.6,N,7,26-35,0
18,41160,MORTGAGE,1.8,N,7,18-25,0
25,65615,RENT,7.7,Y,6,18-25,1
20,27999,RENT,5.3,N,7,18-25,0
18,26217,RENT,1.3,N,5,18-25,0
19,20981,OWN,1.0,N,4,18-25,0
27,54513,OWN,1.3,N,8,26-35,0
30,38361,MORTGAGE,1.6,N,9,26-35,0
21,44627,RENT,1.6,Y,4,18-25,1
30,35181,RENT,2.8,N,5,26-35,0
31,36172,OWN,3.7,N,5,26-35,0
28,32038,MORTGAGE,1.2,Y,4,26-35,1
21,69604,MORTGAGE,2.3,N,4,18-25,0
24,50454,OWN,4.6,N,4,18-25,0
28,136962,MORTGAGE,2.4,N,3,26-35,0
22,39640,RENT,3.4,Y,5,18-25,1
30,147745,MORTGAGE,0.2,N,5,26-35,0
20,40173,RENT,6.5,Y,4,18-25,1
29,70065,MORTGAGE,2.1,N,7,26-35,0
32,31961,OWN,7.5,N,3,26-35,0
28,68805,MORTGAGE,2.3,N,4,26-35,0
21,9746,MORTGAGE,2.8,Y,9,18-25,1
18,20472,RENT,0.5,Y,5,18-25,1
20,24694,RENT,2.8,N,5,18-25,0
29,206286,RENT,1.6,N,4,26-35,0
25,102502,MORTGAGE,1.2,N,5,18-25,0
23,58774,MORTGAGE,9.7,N,7,18-25,0
29,36642,MORTGAGE,1.9,N,6,26-35,0
18,32623,OWN,7.1,N,7,18-25,0
25,32069,MORTGAGE,7.0,N,7,18-25,0
20,78632,RENT,5.8,Y,4,18-25,1
18,52224,RENT,4.6,N,4,18-25,0
23,91974,RENT,1.8,N,6,18-25,0
41,72586,RENT,2.6,Y,5,36-45,1
30,65486,RENT,14.5,N,5,26-35,0
20,28312,MORTGAGE,1.0,Y,6,18-25,1
34,28257,RENT,4.3,N,4,26-35,0
19,53717,RENT,5.5,Y,5,18-25,1
36,63961,RENT,0.7,N,9,36-45,0
21,42840,OWN,2.7,Y,1,18-25,1
27,20513,MORTGAGE,0.6,Y,4,26-35,1
39,57318,MORTGAGE,3.0,N,3,36-45,0
24,83253,RENT,3.4,N,1,18-25,0
38,22646,MORTGAGE,0.7,N,4,36-45,0
26,39944,RENT,2.8,N,5,26-35,0
26,25271,RENT,0.3,Y,6,26-35,1
21,95757,MORTGAGE,9.5,N,7,18-25,0
35,198291,MORTGAGE,23.4,N,3,26-35,0
24,122983,RENT,14.4,N,9,18-25,0
38,16194,MORTGAGE,3.4,Y,4,36-45,1
23,62458,RENT,10.8,N,5,18-25,0
24,72045,RENT,3.4,N,6,18-25,0
33,165082,MORTGAGE,10.5,N,4,26-35,0
26,32699,OTHER,2.2,N,5,26-35,0
28,44933,RENT,15.8,Y,6,26-35,1
19,21472,RENT,13.9,N,6,18-25,0
27,19072,RENT,10.8,N,3,26-35,0
29,51402,RENT,3.0,N,6,26-35,0
37,136949,MORTGAGE,5.6,N,2,36-45,0
24,50014,RENT,0.7,N,5,18-25,0
29,50746,RENT,7.1,N,4,26-35,0
34,20215,MORTGAGE,3.9,N,3,26-35,0
27,54266,RENT,2.0,N,4,26-35,0
33,33261,OTHER,15.4,N,7,26-35,0
41,35657,MORTGAGE,0.7,Y,5,36-45,1
27,162066,RENT,8.1,Y,3,26-35,1
34,36058,RENT,2.8,Y,2,26-35,1
30,38623,MORTGAGE,6.6,Y,6,26-35,1
32,57129,RENT,2.8,N,4,26-35,0
31,4136,MORTGAGE,2.5,N,6,26-35,0
33,28432,MORTGAGE,7.4,N,5,26-35,0
33,13997,OTHER,15.0,N,4,26-35,0
26,33345,RENT,8.6,N,7,26-35,0
23,186129,MORTGAGE,2.1,N,3,18-25,0
29,7019,MORTGAGE,5.3,Y,7,26-35,1
18,15278,RENT,22.0,N,7,18-25,0
30,126469,MORTGAGE,0.1,N,3,26-35,0
31,43849,MORTGAGE,2.3,Y,3,26-35,1
25,66696,RENT,1.7,N,2,18-25,0
27,52466,RENT,2.8,Y,1,26-35,1
32,53588,RENT,13.9,N,6,26-35,0
31,38516,MORTGAGE,0.9,Y,3,26-35,1
32,5058,OWN,6.9,N,6,26-35,0
31,48285,MORTGAGE,2.9,N,4,26-35,0
27,105694,RENT,1.9,Y,3,26-35,1
26,98843,RENT,6.8,N,4,26-35,0
29,73623,RENT,7.5,N,8,26-35,0
35,45557,MORTGAGE,5.0,N,4,26-35,0
28,54503,MORTGAGE,0.3,N,3,26-35,0
34,89301,RENT,8.2,Y,2,26-35,1
18,16836,RENT,7.2,N,5,18-25,0
28,173332,RENT,1.3,N,3,26-35,0
27,99232,MORTGAGE,3.7,N,2,26-35,0
18,178816,MORTGAGE,9.5,Y,2,18-25,1
18,61006,RENT,1.3,Y,7,18-25,1
29,33958,RENT,2.2,N,3,26-35,0
27,67799,MORTGAGE,0.3,N,3,26-35,0
31,83183,MORTGAGE,1.9,Y,6,26-35,1
18,188789,RENT,2.1,N,6,18-25,0
33,39925,MORTGAGE,7.3,N,4,26-35,0
33,36710,RENT,0.0,Y,6,26-35,1
18,102912,RENT,2.8,N,7,18-25,0
35,41615,RENT,1.4,Y,6,26-35,1
37,32172,MORTGAGE,3.8,Y,5,36-45,1
18,33663,RENT,0.3,N,7,18-25,0
27,11916,MORTGAGE,2.3,N,6,26-35,0
28,29819,RENT,6.4,N,1,26-35,0
18,65863,RENT,0.9,N,5,18-25,0
25,48842,RENT,3.6,N,3,18-25,0
35,68082,OWN,2.2,N,4,26-35,0
21,124037,MORTGAGE,2.5,N,3,18-25,0
37,260861,RENT,1.9,N,7,36-45,0
29,40513,RENT,1.4,N,6,26-35,0
22,22098,MORTGAGE,0.6,N,6,18-25,0
27,36058,RENT,1.3,N,3,26-35,0
18,84169,MORTGAGE,18.5,N,6,18-25,0
29,275645,MORTGAGE,11.8,N,6,26-35,0
25,54881,MORTGAGE,0.2,Y,6,18-25,1
24,68530,RENT,0.5,N,6,18-25,0
18,41755,MORTGAGE,7.4,N,3,18-25,0
26,54594,RENT,0.8,Y,3,26-35,1
28,116936,RENT,2.0,N,6,26-35,0
18,86302,RENT,0.4,N,4,18-25,0
33,47095,RENT,2.8,N,5,26-35,0
28,58496,RENT,3.8,N,8,26-35,0
21,37886,MORTGAGE,6.8,N,5,18-25,0
26,112719,RENT,0.7,N,5,26-35,0
32,179891,RENT,2.8,N,6,26-35,0
35,26671,RENT,5.0,N,1,26-35,0
36,28168,MORTGAGE,14.1,N,2,36-45,0
37,38144,MORTGAGE,25.5,N,2,36-45,0
19,89261,RENT,1.7,N,2,18-25,0
22,36360,RENT,1.2,N,7,18-25,0
18,94571,MORTGAGE,3.9,N,8,18-25,0
33,16350,RENT,0.8,N,5,26-35,0
25,46562,RENT,1.6,N,7,18-25,0
34,53815,RENT,3.5,Y,8,26-35,1
18,25507,RENT,0.2,N,6,18-25,0
22,44424,RENT,2.3,N,4,18-25,0
22,106606,RENT,2.8,N,8,18-25,0
34,44403,RENT,0.4,N,3,26-35,0
31,65678,MORTGAGE,0.5,N,4,26-35,0
18,132392,RENT,1.7,N,3,18-25,0
24,25916,RENT,0.5,N,5,18-25,0
32,58773,MORTGAGE,4.5,N,3,26-35,0
33,6685,MORTGAGE,0.6,N,8,26-35,0
29,18510,OWN,1.0,Y,11,26-35,1
28,82767,MORTGAGE,2.1,Y,6,26-35,1
21,33761,MORTGAGE,6.6,N,4,18-25,0
33,59993,RENT,3.2,N,3,26-35,0
19,17020,MORTGAGE,4.4,N,6,18-25,0
18,7362,MORTGAGE,2.0,N,5,18-25,0
28,29969,RENT,1.6,Y,7,26-35,1
24,32762,RENT,5.2,N,7,18-25,0
31,38264,MORTGAGE,1.9,N,5,26-35,0
29,136915,RENT,4.0,N,6,26-35,0
37,11667,MORTGAGE,3.5,N,9,36-45,0
29,29394,RENT,15.3,N,8,26-35,0
33,37932,RENT,1.2,N,2,26-35,0
21,44371,MORTGAGE,0.1,N,2,18-25,0
31,98153,MORTGAGE,3.0,N,4,26-35,0
25,47014,RENT,1.1,N,7,18-25,0
24,85573,RENT,13.7,N,8,18-25,0
21,112534,RENT,5.1,N,4,18-25,0
36,18516,MORTGAGE,1.3,N,7,36-45,0
26,107835,RENT,3.6,N,7,26-35,0
22,42742,RENT,0.7,Y,3,18-25,1
31,50674,MORTGAGE,8.0,Y,2,26-35,1
24,54314,MORTGAGE,1.6,N,6,18-25,0
22,65615,MORTGAGE,10.2,N,6,18-25,0
44,17439,RENT,1.9,N,10,36-45,0
19,16391,MORTGAGE,0.2,Y,8,18-25,1
38,34271,MORTGAGE,1.6,N,3,36-45,0
22,75037,RENT,5.9,N,5,18-25,0
30,120438,MORTGAGE,3.9,N,5,26-35,0
26,30431,MORTGAGE,6.3,N,2,26-35,0
31,89324,RENT,4.5,N,3,26-35,0
18,42211,RENT,3.9,Y,5,18-25,1
18,61768,OWN,1.2,N,7,18-25,0
31,32190,OWN,3.9,Y,10,26-35,1
18,54000,MORTGAGE,11.1,N,1,18-25,0
19,25707,MORTGAGE,5.5,N,5,18-25,0
26,52359,RENT,0.7,Y,5,26-35,1
19,89947,RENT,2.5,Y,7,18-25,1
19,36962,OTHER,6.8,Y,4,18-25,1
24,58424,MORTGAGE,0.4,Y,3,18-25,1
18,63473,RENT,0.5,N,5,18-25,0
18,106619,RENT,0.4,Y,1,18-25,1
35,13282,MORTGAGE,1.5,N,3,26-35,0
32,80194,RENT,2.8,N,3,26-35,0
40,22884,RENT,3.7,N,6,36-45,0
30,21455,RENT,1.7,N,4,26-35,0
34,31196,OWN,0.7,N,2,26-35,0
24,25451,RENT,1.3,N,5,18-25,0
25,56583,RENT,0.6,N,1,18-25,0
29,24931,RENT,4.1,Y,6,26-35,1
18,73372,RENT,3.2,N,8,18-25,0
30,10967,RENT,0.7,N,6,26-35,0
23,103218,MORTGAGE,2.6,N,6,18-25,0
24,16525,RENT,3.4,N,6,18-25,0
32,65090,MORTGAGE,1.3,Y,4,26-35,1
18,27912,RENT,0.8,N,9,18-25,0
27,36428,MORTGAGE,7.4,N,2,26-35,0
29,26567,OWN,1.5,Y,3,26-35,1
23,11082,RENT,2.2,Y,5,18-25,1
27,35459,OWN,21.7,N,8,26-35,0
27,20806,MORTGAGE,2.4,N,5,26-35,0
32,18068,MORTGAGE,1.9,Y,8,26-35,1
25,36440,MORTGAGE,1.6,N,2,18-25,0
19,40268,RENT,1.0,Y,8,18-25,1
23,51967,OWN,4.1,N,6,18-25,0
24,69313,OWN,5.4,N,7,18-25,0
22,21070,MORTGAGE,2.8,N,6,18-25,0
28,18509,RENT,3.4,N,5,26-35,0
27,83210,RENT,5.2,Y,8,26-35,1
27,39065,RENT,3.5,Y,10,26-35,1
21,193953,MORTGAGE,11.4,N,6,18-25,0
27,11651,RENT,3.3,N,2,26-35,0
34,61937,MORTGAGE,0.5,N,4,26-35,0
28,27727,MORTGAGE,13.8,Y,7,26-35,1
33,28448,OWN,5.4,N,4,26-35,0
27,33419,MORTGAGE,6.1,Y,4,26-35,1
23,125230,RENT,3.1,N,9,18-25,0
32,15161,MORTGAGE,2.8,N,6,26-35,0
18,15005,OWN,14.8,N,6,18-25,0
23,75453,MORTGAGE,6.2,N,1,18-25,0
26,161638,RENT,0.6,N,6,26-35,0
30,29367,RENT,1.8,N,5,26-35,0
34,104757,MORTGAGE,9.2,Y,3,26-35,1
32,90301,OWN,3.6,N,6,26-35,0
31,59682,RENT,0.5,N,2,26-35,0
32,55706,MORTGAGE,0.5,Y,7,26-35,1
33,37640,RENT,0.5,Y,6,26-35,1
20,92382,MORTGAGE,2.8,N,9,18-25,0
40,78063,MORTGAGE,3.1,N,6,36-45,0
33,32817,RENT,4.6,N,5,26-35,0
25,16152,MORTGAGE,2.4,Y,4,18-25,1
29,28336,RENT,2.7,N,8,26-35,0
19,23265,RENT,0.3,N,9,18-25,0
25,47147,MORTGAGE,1.7,N,8,18-25,0
24,68595,RENT,4.5,N,2,18-25,0
24,64383,RENT,2.8,Y,8,18-25,1
31,67659,MORTGAGE,1.0,N,5,26-35,0
27,56120,RENT,2.7,N,4,26-35,0
19,48279,RENT,0.6,N,4,18-25,0
19,46915,MORTGAGE,2.1,N,5,18-25,0
18,116339,RENT,3.5,Y,4,18-25,1
32,34815,MORTGAGE,0.9,N,7,26-35,0
25,42052,MORTGAGE,8.4,N,4,18-25,0
31,10792,RENT,1.8,N,5,26-35,0
45,33505,RENT,0.2,N,7,36-45,0
21,39709,RENT,0.4,N,5,18-25,0
28,113261,RENT,6.0,N,5,26-35,0
35,19236,RENT,18.2,N,5,26-35,0
24,44834,MORTGAGE,0.2,N,9,18-25,0
24,44189,MORTGAGE,1.1,N,2,18-25,0
30,76626,RENT,6.0,Y,12,26-35,1
42,35376,MORTGAGE,1.0,Y,5,36-45,1
30,75043,MORTGAGE,6.6,N,11,26-35,0
21,58646,RENT,4.9,N,6,18-25,0
22,28777,MORTGAGE,2.5,N,3,18-25,0
24,22522,MORTGAGE,0.4,N,10,18-25,0
18,211842,MORTGAGE,1.3,N,1,18-25,0
26,33554,RENT,1.5,N,4,26-35,0
27,14988,MORTGAGE,14.5,N,7,26-35,0
27,35642,MORTGAGE,10.5,N,9,26-35,0
18,30641,MORTGAGE,0.2,N,5,18-25,0
29,21647,MORTGAGE,7.1,Y,6,26-35,1
21,47618,RENT,2.9,N,8,18-25,0
25,55926,OWN,3.1,Y,7,18-25,1
22,11943,MORTGAGE,4.4,N,9,18-25,0
33,53532,RENT,10.5,N,2,26-35,0
22,81972,RENT,9.3,N,7,18-25,0
35,24935,RENT,4.5,N,10,26-35,0
27,19188,MORTGAGE,3.9,N,1,26-35,0
29,23780,MORTGAGE,0.8,N,5,26-35,0
27,34063,RENT,0.2,N,4,26-35,0
21,46888,MORTGAGE,6.8,N,6,18-25,0
29,21680,RENT,1.4,Y,3,26-35,1
24,35887,MORTGAGE,3.6,N,4,18-25,0
28,41128,MORTGAGE,7.4,N,6,26-35,0
30,52928,RENT,8.6,Y,9,26-35,1
38,17167,RENT,4.2,N,2,36-45,0
29,27053,RENT,0.6,N,7,26-35,0
32,28253,OTHER,3.6,N,5,26-35,0
30,140980,MORTGAGE,2.1,N,6,26-35,0
25,96076,RENT,0.2,N,4,18-25,0
31,43429,RENT,17.7,Y,6,26-35,1
26,15918,MORTGAGE,1.5,N,3,26-35,0
24,83662,RENT,3.0,N,3,18-25,0
20,103228,MORTGAGE,6.8,N,4,18-25,0
30,42782,MORTGAGE,2.8,N,9,26-35,0
23,32242,RENT,1.1,Y,3,18-25,1
30,27703,RENT,0.8,N,5,26-35,0
27,72947,MORTGAGE,10.2,N,7,26-35,0
25,69854,RENT,2.2,N,6,18-25,0
21,21433,RENT,1.3,N,3,18-25,0
34,24943,OWN,2.8,N,5,26-35,0
24,21397,OWN,1.0,N,9,18-25,0
36,155649,RENT,1.4,N,4,36-45,0
22,54458,MORTGAGE,5.7,N,5,18-25,0
36,97287,RENT,6.2,N,2,36-45,0
27,48874,OTHER,1.5,N,5,26-35,0
32,59538,RENT,0.2,Y,6,26-35,1
19,36284,MORTGAGE,1.9,N,8,18-25,0
19,123939,RENT,4.5,N,3,18-25,0
28,55704,RENT,9.6,Y,2,26-35,1
20,42802,RENT,5.4,N,2,18-25,0
34,12192,OWN,0.8,N,3,26-35,0
29,64608,MORTGAGE,2.7,N,7,26-35,0
23,64169,OWN,1.5,N,6,18-25,0
21,108570,RENT,4.9,N,3,18-25,0
25,36096,RENT,14.1,Y,8,18-25,1
23,27170,RENT,0.6,N,6,18-25,0
29,160877,RENT,1.4,Y,3,26-35,1
26,16876,MORTGAGE,3.4,N,4,26-35,0
34,25638,RENT,0.9,N,7,26-35,0
30,133082,MORTGAGE,2.0,N,3,26-35,0
21,88453,RENT,6.8,N,6,18-25,0
24,38102,OWN,1.7,N,7,18-25,0
21,39052,MORTGAGE,0.8,N,5,18-25,0
21,40880,MORTGAGE,1.6,N,3,18-25,0
18,84219,MORTGAGE,5.5,N,6,18-25,0
32,85123,MORTGAGE,1.4,N,5,26-35,0
